/scratch/m25cse012/DL_Assignment_PSSI_COPY/DL_Mini_project/train.py:44: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  criterion, scaler = HybridLoss(torch.ones(21).to(device)), GradScaler()
/scratch/m25cse012/DL_Assignment_PSSI_COPY/DL_Mini_project/train.py:52: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
Epoch 71 | Loss: 1.0780 | Dice: 0.7238 | GFLOPs: 0.241
Epoch 72 | Loss: 1.0773 | Dice: 0.7249 | GFLOPs: 0.241
Epoch 73 | Loss: 1.0774 | Dice: 0.7208 | GFLOPs: 0.241
Epoch 74 | Loss: 1.0767 | Dice: 0.7358 | GFLOPs: 0.241
Epoch 75 | Loss: 1.0766 | Dice: 0.7381 | GFLOPs: 0.241
Epoch 76 | Loss: 1.0759 | Dice: 0.7318 | GFLOPs: 0.241
Epoch 77 | Loss: 1.0757 | Dice: 0.7246 | GFLOPs: 0.241
Epoch 78 | Loss: 1.0752 | Dice: 0.7359 | GFLOPs: 0.241
Epoch 79 | Loss: 1.0748 | Dice: 0.7288 | GFLOPs: 0.241
Epoch 80 | Loss: 1.0749 | Dice: 0.7211 | GFLOPs: 0.241
Epoch 81 | Loss: 1.0746 | Dice: 0.7273 | GFLOPs: 0.241
Epoch 82 | Loss: 1.0743 | Dice: 0.7273 | GFLOPs: 0.241
Epoch 83 | Loss: 1.0742 | Dice: 0.7258 | GFLOPs: 0.241
Epoch 84 | Loss: 1.0743 | Dice: 0.7292 | GFLOPs: 0.241
Epoch 85 | Loss: 1.0738 | Dice: 0.7353 | GFLOPs: 0.241
Epoch 86 | Loss: 1.0737 | Dice: 0.7301 | GFLOPs: 0.241
Epoch 87 | Loss: 1.0734 | Dice: 0.7245 | GFLOPs: 0.241
Epoch 88 | Loss: 1.0738 | Dice: 0.7258 | GFLOPs: 0.241
Epoch 89 | Loss: 1.0730 | Dice: 0.7312 | GFLOPs: 0.241
Epoch 90 | Loss: 1.0731 | Dice: 0.7312 | GFLOPs: 0.241
Epoch 91 | Loss: 1.0728 | Dice: 0.7300 | GFLOPs: 0.241
Epoch 92 | Loss: 1.0732 | Dice: 0.7315 | GFLOPs: 0.241
Epoch 93 | Loss: 1.0727 | Dice: 0.7313 | GFLOPs: 0.241
Epoch 94 | Loss: 1.0729 | Dice: 0.7288 | GFLOPs: 0.241
Epoch 95 | Loss: 1.0725 | Dice: 0.7273 | GFLOPs: 0.241
Epoch 96 | Loss: 1.0727 | Dice: 0.7283 | GFLOPs: 0.241
Epoch 97 | Loss: 1.0726 | Dice: 0.7292 | GFLOPs: 0.241
Epoch 98 | Loss: 1.0727 | Dice: 0.7299 | GFLOPs: 0.241
Epoch 99 | Loss: 1.0727 | Dice: 0.7303 | GFLOPs: 0.241
Epoch 100 | Loss: 1.0728 | Dice: 0.7290 | GFLOPs: 0.241
Epoch 101 | Loss: 1.0725 | Dice: 0.7275 | GFLOPs: 0.241
Epoch 102 | Loss: 1.0727 | Dice: 0.7305 | GFLOPs: 0.241
Epoch 103 | Loss: 1.0724 | Dice: 0.7289 | GFLOPs: 0.241
Epoch 104 | Loss: 1.0727 | Dice: 0.7300 | GFLOPs: 0.241
Epoch 105 | Loss: 1.0725 | Dice: 0.7284 | GFLOPs: 0.241
Epoch 106 | Loss: 1.0727 | Dice: 0.7293 | GFLOPs: 0.241
Epoch 107 | Loss: 1.0725 | Dice: 0.7289 | GFLOPs: 0.241
Epoch 108 | Loss: 1.0729 | Dice: 0.7290 | GFLOPs: 0.241
Epoch 109 | Loss: 1.0729 | Dice: 0.7298 | GFLOPs: 0.241
Epoch 110 | Loss: 1.0727 | Dice: 0.7290 | GFLOPs: 0.241
Epoch 111 | Loss: 1.0726 | Dice: 0.7244 | GFLOPs: 0.241
Epoch 112 | Loss: 1.0725 | Dice: 0.7262 | GFLOPs: 0.241
Epoch 113 | Loss: 1.0730 | Dice: 0.7291 | GFLOPs: 0.241
Epoch 114 | Loss: 1.0723 | Dice: 0.7311 | GFLOPs: 0.241
Epoch 115 | Loss: 1.0728 | Dice: 0.7265 | GFLOPs: 0.241
Epoch 116 | Loss: 1.0726 | Dice: 0.7317 | GFLOPs: 0.241
Epoch 117 | Loss: 1.0725 | Dice: 0.7288 | GFLOPs: 0.241
Epoch 118 | Loss: 1.0726 | Dice: 0.7228 | GFLOPs: 0.241
Epoch 119 | Loss: 1.0727 | Dice: 0.7276 | GFLOPs: 0.241
Epoch 120 | Loss: 1.0726 | Dice: 0.7292 | GFLOPs: 0.241
Epoch 121 | Loss: 1.0728 | Dice: 0.7273 | GFLOPs: 0.241
Epoch 122 | Loss: 1.0722 | Dice: 0.7285 | GFLOPs: 0.241
Epoch 123 | Loss: 1.0726 | Dice: 0.7202 | GFLOPs: 0.241
Epoch 124 | Loss: 1.0726 | Dice: 0.7229 | GFLOPs: 0.241
Epoch 125 | Loss: 1.0727 | Dice: 0.7278 | GFLOPs: 0.241
Epoch 126 | Loss: 1.0726 | Dice: 0.7278 | GFLOPs: 0.241
Epoch 127 | Loss: 1.0723 | Dice: 0.7215 | GFLOPs: 0.241
Epoch 128 | Loss: 1.0728 | Dice: 0.7197 | GFLOPs: 0.241
Epoch 129 | Loss: 1.0728 | Dice: 0.7244 | GFLOPs: 0.241
Epoch 130 | Loss: 1.0726 | Dice: 0.7249 | GFLOPs: 0.241
Epoch 131 | Loss: 1.0725 | Dice: 0.7331 | GFLOPs: 0.241
Epoch 132 | Loss: 1.0725 | Dice: 0.7259 | GFLOPs: 0.241
Epoch 133 | Loss: 1.0728 | Dice: 0.7109 | GFLOPs: 0.241
Epoch 134 | Loss: 1.0727 | Dice: 0.7072 | GFLOPs: 0.241
Epoch 135 | Loss: 1.0723 | Dice: 0.7122 | GFLOPs: 0.241
Epoch 136 | Loss: 1.0724 | Dice: 0.7293 | GFLOPs: 0.241
Epoch 137 | Loss: 1.0727 | Dice: 0.7316 | GFLOPs: 0.241
Epoch 138 | Loss: 1.0724 | Dice: 0.7270 | GFLOPs: 0.241
Epoch 139 | Loss: 1.0720 | Dice: 0.7315 | GFLOPs: 0.241
Epoch 140 | Loss: 1.0722 | Dice: 0.7089 | GFLOPs: 0.241
Epoch 141 | Loss: 1.0727 | Dice: 0.7170 | GFLOPs: 0.241
Epoch 142 | Loss: 1.0718 | Dice: 0.7111 | GFLOPs: 0.241
Epoch 143 | Loss: 1.0724 | Dice: 0.7231 | GFLOPs: 0.241
Epoch 144 | Loss: 1.0717 | Dice: 0.7394 | GFLOPs: 0.241
Epoch 145 | Loss: 1.0723 | Dice: 0.6990 | GFLOPs: 0.241
Epoch 146 | Loss: 1.0725 | Dice: 0.7273 | GFLOPs: 0.241
Epoch 147 | Loss: 1.0729 | Dice: 0.7226 | GFLOPs: 0.241
Epoch 148 | Loss: 1.0727 | Dice: 0.7224 | GFLOPs: 0.241
Epoch 149 | Loss: 1.0713 | Dice: 0.7374 | GFLOPs: 0.241
Epoch 150 | Loss: 1.0718 | Dice: 0.7182 | GFLOPs: 0.241
Epoch 151 | Loss: 1.0732 | Dice: 0.7335 | GFLOPs: 0.241
Epoch 152 | Loss: 1.0718 | Dice: 0.7127 | GFLOPs: 0.241
Epoch 153 | Loss: 1.0715 | Dice: 0.6897 | GFLOPs: 0.241
Epoch 154 | Loss: 1.0735 | Dice: 0.7401 | GFLOPs: 0.241
Epoch 155 | Loss: 1.0719 | Dice: 0.7069 | GFLOPs: 0.241
Epoch 156 | Loss: 1.0720 | Dice: 0.7171 | GFLOPs: 0.241
Epoch 157 | Loss: 1.0725 | Dice: 0.7069 | GFLOPs: 0.241
Epoch 158 | Loss: 1.0751 | Dice: 0.7341 | GFLOPs: 0.241
Epoch 159 | Loss: 1.0718 | Dice: 0.7330 | GFLOPs: 0.241
Epoch 160 | Loss: 1.0715 | Dice: 0.7310 | GFLOPs: 0.241
Epoch 161 | Loss: 1.0726 | Dice: 0.7032 | GFLOPs: 0.241
Epoch 162 | Loss: 1.0730 | Dice: 0.7064 | GFLOPs: 0.241
Epoch 163 | Loss: 1.0717 | Dice: 0.7274 | GFLOPs: 0.241
Epoch 164 | Loss: 1.0708 | Dice: 0.7068 | GFLOPs: 0.241
Epoch 165 | Loss: 1.0709 | Dice: 0.7023 | GFLOPs: 0.241
Epoch 166 | Loss: 1.0722 | Dice: 0.7182 | GFLOPs: 0.241
Epoch 167 | Loss: 1.0704 | Dice: 0.7217 | GFLOPs: 0.241
Epoch 168 | Loss: 1.0725 | Dice: 0.6835 | GFLOPs: 0.241
Epoch 169 | Loss: 1.0794 | Dice: 0.7156 | GFLOPs: 0.241
Epoch 170 | Loss: 1.0748 | Dice: 0.7250 | GFLOPs: 0.241
